nodeTag,x,y,z
179,86.840623,7.59757,227.970505
180,82.862358,7.249517,187.773154
181,81.603492,7.13938,150.0
182,81.603492,-7.13938,150.0
183,80.978877,-14.278761,168.742014
184,80.344627,-21.528278,187.773154
185,79.690501,-29.00497,207.400666
186,79.00497,-36.840623,227.970505
187,78.274345,-45.191714,249.893453
188,77.481569,-54.253179,273.681245
189,76.604444,-64.278761,300.0
190,34.202014,-93.969262,300.0
191,17.364818,-98.480775,300.0
192,8.243846,-94.227597,273.681245
193,0.0,-90.383428,249.893453
194,0.0,-84.80486,207.400666
195,0.0,-82.228107,168.742014
196,7.13938,-81.603492,150.0
197,14.278761,-80.978877,131.257986
198,14.726209,-83.516484,92.599334
199,15.694918,-89.0103,50.106547
200,17.364818,-98.480775,0.0
201,17.364818,-98.480775,0.0
202,98.480775,17.364818,0.0
203,93.969262,34.202014,0.0
204,85.725416,39.974418,26.318755
205,78.274345,45.191714,50.106547
206,71.4074,50.0,72.029495
207,64.964292,54.511513,92.599334
208,58.816349,58.816349,112.226846
209,52.855208,62.990385,131.257986
210,46.984631,67.101007,150.0
211,41.114054,71.21163,168.742014
212,35.152913,75.385665,187.773154
213,29.00497,79.690501,207.400666
214,22.561862,84.202014,227.970505
215,15.694918,89.0103,249.893453
216,8.243846,94.227597,273.681245
217,0.0,100.0,300.0
218,0.0,100.0,300.0
219,64.278761,76.604444,300.0
220,76.604444,64.278761,300.0
221,86.60254,50.0,300.0
222,93.969262,34.202014,300.0
223,91.364539,24.481054,273.681245
224,94.227597,8.243846,273.681245
225,90.383428,0.0,249.893453
226,84.80486,0.0,207.400666
227,82.228107,0.0,168.742014
228,82.862358,-7.249517,187.773154
229,83.516484,-14.726209,207.400666
230,84.202014,-22.561862,227.970505
231,84.93264,-30.912953,249.893453
232,85.725416,-39.974418,273.681245
233,86.60254,-50.0,300.0
234,76.604444,-64.278761,300.0
235,0.0,-100.0,300.0
236,-8.243846,-94.227597,273.681245
237,-7.59757,-86.840623,227.970505
238,-7.249517,-82.862358,187.773154
239,-7.13938,-81.603492,150.0
240,0.0,-82.228107,131.257986
241,7.249517,-82.862358,112.226846
242,7.59757,-86.840623,72.029495
243,8.243846,-94.227597,26.318755
244,93.969262,34.202014,0.0
245,86.60254,50.0,0.0
246,77.481569,54.253179,26.318755
247,69.237723,58.097348,50.106547
248,61.640153,61.640153,72.029495
249,54.511513,64.964292,92.599334
250,47.709445,68.136148,112.226846
251,41.114054,71.21163,131.257986
252,34.618861,74.240388,150.0
253,28.123669,77.269146,168.742014
254,21.528278,80.344627,187.773154
255,14.726209,83.516484,207.400666
256,7.59757,86.840623,227.970505
257,0.0,90.383428,249.893453
258,-8.243846,94.227597,273.681245
259,-17.364818,98.480775,300.0
260,-17.364818,98.480775,300.0
261,98.480775,17.364818,300.0
262,100.0,0.0,300.0
263,94.227597,-8.243846,273.681245
264,86.840623,-7.59757,227.970505
265,89.0103,-15.694918,249.893453
266,91.364539,-24.481054,273.681245
267,93.969262,-34.202014,300.0
268,86.60254,-50.0,300.0
269,17.364818,-98.480775,300.0
270,0.0,-100.0,300.0
271,-17.364818,-98.480775,300.0
272,-15.694918,-89.0103,249.893453
273,-14.726209,-83.516484,207.400666
274,-14.278761,-80.978877,168.742014
275,-14.278761,-80.978877,131.257986
276,-7.249517,-82.862358,112.226846
277,0.0,-84.80486,92.599334
278,0.0,-90.383428,50.106547
279,0.0,-100.0,0.0
280,0.0,-100.0,0.0
281,86.60254,50.0,0.0
282,76.604444,64.278761,0.0
283,66.883484,66.883484,26.318755
284,58.097348,69.237723,50.106547
285,50.0,71.4074,72.029495
286,42.40243,73.443163,92.599334
287,35.152913,75.385665,112.226846
288,28.123669,77.269146,131.257986
289,21.201215,79.124012,150.0
290,14.278761,80.978877,168.742014
291,7.249517,82.862358,187.773154
292,0.0,84.80486,207.400666
293,-7.59757,86.840623,227.970505
294,-15.694918,89.0103,249.893453
295,-24.481054,91.364539,273.681245
296,-34.202014,93.969262,300.0
297,-34.202014,93.969262,300.0
298,93.969262,34.202014,300.0
299,98.480775,17.364818,300.0
300,100.0,0.0,300.0
301,98.480775,-17.364818,300.0
302,93.969262,-34.202014,300.0
303,-24.481054,-91.364539,273.681245
304,-22.561862,-84.202014,227.970505
